stock_id,timestamp,revenue,operating_income,net_income,total_assets,total_equity,gross_profit,rd_expense,total_liabilities,current_assets,current_liabilities,cash,operating_cash_flow,capex,free_cash_flow,revenue_growth,historical_growth_mean,historical_growth_std,operating_margin,gross_margin,operating_roa,equity_to_assets,debt_to_equity,current_ratio,cash_ratio,future_3m_return,future_6m_return,future_12m_return
3105,2020-06-30,6047725000.0,2033024000.0,,47168975000.0,47168975000.0,2706732000.0,,15629208000.0,15299824000.0,8905800000.0,6159476000.0,,,,,-0.014918641345584877,0.15562191792276667,0.3361634333571715,0.44756201712214094,0.04310087297847791,1.0,0.3313450843483455,1.7179617777178917,0.6916252329942285,-0.04180602006688963,0.1505016722408027,0.25418060200668896
3105,2020-09-30,6566378000.0,2146315000.0,,49700605000.0,32937706000.0,2851066000.0,,16762899000.0,16054972000.0,5748548000.0,6708999000.0,,,,0.08576001719654912,-0.014918641345584877,0.15562191792276667,0.3268643687585454,0.43419157410676024,0.043184886783571345,0.6627224356725637,0.508927336955403,2.7928743049549207,1.1670771471335022,0.2006980802792321,0.3787085514834206,0.08202443280977312
3105,2020-12-31,6861080000.0,1664498000.0,,54702463000.0,35730452000.0,2399206000.0,,18972011000.0,17481431000.0,6702885000.0,8356270000.0,,,,0.04488045007460734,-0.014918641345584877,0.15562191792276667,0.24259999883400282,0.34968343176292943,0.03042820942084454,0.6531781210655908,0.5309759585465081,2.6080457892385143,1.246667666236255,0.13005780346820808,0.0838150289017341,0.07514450867052024
3105,2021-03-31,6009383000.0,1195546000.0,,70149112000.0,33230491000.0,2011734000.0,,36918621000.0,31747323000.0,11368311000.0,22333515000.0,,,,-0.12413453858576201,-0.014918641345584877,0.15562191792276667,0.19894654742425305,0.3347654825794928,0.017042924221193276,0.4737122117810985,1.1109863227720589,2.7926156312929864,1.9645411706277212,-0.04092071611253197,-0.2071611253196931,-0.319693094629156
3105,2021-06-30,6194629000.0,1409130000.0,,72575758000.0,34942244000.0,2212324000.0,,37633514000.0,28871216000.0,10861808000.0,19899249000.0,,,,0.030826126409316895,-0.014918641345584877,0.15562191792276667,0.22747609259569862,0.35713583493055034,0.01941598736040759,0.4814588915488833,1.077020525642257,2.6580488257571853,1.832038367829739,-0.17333333333333334,-0.0013333333333333333,-0.4866666666666667
3105,2021-09-30,6761092000.0,1809532000.0,,71998526000.0,71998526000.0,2623396000.0,,37020958000.0,25961885000.0,11929973000.0,16481962000.0,,,,0.09144421724045136,-0.014918641345584877,0.15562191792276667,0.2676390145260559,0.38801365223250917,0.025132903415272696,1.0,0.5141904988443792,2.1761897533213195,1.3815590362191097,0.20806451612903226,-0.12419354838709677,-0.6016129032258064
3105,2021-12-31,7217272000.0,2008841000.0,,74894158000.0,74894158000.0,2922640000.0,,37772162000.0,26454852000.0,7214952000.0,16331759000.0,,,,0.06747134930274577,-0.014918641345584877,0.15562191792276667,0.27833799252681624,0.4049507902708946,0.0268223991516134,1.0,0.5043405655218128,3.666670547496366,2.2635991202713477,-0.2849462365591398,-0.4825268817204301,-0.6155913978494624
3105,2022-03-31,5596993000.0,916218000.0,,74073143000.0,74073143000.0,1714161000.0,,39177217000.0,23207658000.0,11035653000.0,14207296000.0,,,,-0.22450019896714438,-0.014918641345584877,0.15562191792276667,0.16369825726063977,0.3062646317406507,0.012369098473383262,1.0,0.5288990774969546,2.1029709796058285,1.287399667242165,-0.27631578947368424,-0.5357142857142857,-0.31390977443609025
3105,2022-06-30,5297325000.0,747234000.0,,72767243000.0,72767243000.0,1600707000.0,,37796245000.0,21565529000.0,10252231000.0,12959648000.0,,,,-0.053540892404189175,-0.014918641345584877,0.15562191792276667,0.14105874191219153,0.30217270037235777,0.010268823844267399,1.0,0.5194129039628449,2.103496204874822,1.2640807644697043,-0.35844155844155845,-0.2909090909090909,-0.14805194805194805
3105,2022-09-30,3908742000.0,-200441000.0,,70397697000.0,35376321000.0,624334000.0,,35021376000.0,18653499000.0,5522763000.0,10880336000.0,,,,-0.262129093457547,-0.014918641345584877,0.15562191792276667,-0.0512801817055206,0.159727605454645,-0.0028472664382756725,0.502520998662783,0.9899665937563151,3.377566446360273,1.9700892469946656,0.10526315789473684,0.46963562753036436,0.08906882591093117
3105,2022-12-31,3531276000.0,20684000.0,,69128213000.0,35189544000.0,785530000.0,,33938669000.0,17213251000.0,6247088000.0,10379712000.0,,,,-0.09656968917365229,-0.014918641345584877,0.15562191792276667,0.005857372802352464,0.22244933559427243,0.00029921213210010216,0.5090474998970391,0.9644532193994898,2.7554039578120237,1.6615280591533208,0.2762237762237762,0.14685314685314685,0.09090909090909091
