stock_id,timestamp,revenue,operating_income,net_income,total_assets,total_equity,gross_profit,rd_expense,total_liabilities,current_assets,current_liabilities,cash,operating_cash_flow,capex,free_cash_flow,revenue_growth,historical_growth_mean,historical_growth_std,operating_margin,gross_margin,operating_roa,equity_to_assets,debt_to_equity,current_ratio,cash_ratio,future_3m_return,future_6m_return,future_12m_return
2640,2020-06-30,474239000.0,100977000.0,,2492672000.0,2492672000.0,229339000.0,,1110937000.0,858811000.0,847087000.0,562629000.0,,,,,0.03331530490815782,0.09581116408596221,0.21292428501240934,0.48359371540510165,0.040509541568244836,1.0,0.44568118067679985,1.0138403729487053,0.6641926980345584,0.03011292346298609,-0.0025094102885822186,0.013801756587201936
2640,2020-09-30,501745000.0,119286000.0,,2489106000.0,2489106000.0,255142000.0,,1012635000.0,775138000.0,700133000.0,479937000.0,,,,0.05800029099251643,0.03331530490815782,0.09581116408596221,0.23774227944473786,0.5085093025341558,0.04792323026821678,1.0,0.4068267884131893,1.1071296453673802,0.6854940418463349,-0.03166869671132758,0.0,-0.12302070645554196
2640,2020-12-31,524584000.0,109488000.0,,2575101000.0,1559170000.0,262770000.0,,1015931000.0,822455000.0,709410000.0,492381000.0,,,,0.04551913820765528,0.03331530490815782,0.09581116408596221,0.20871395238894058,0.5009111982065789,0.042517943956372976,0.6054791637298886,0.6515844968797502,1.1593507280698045,0.6940711295301729,0.025157232704402517,0.0163522012578616,0.031446540880503145
2640,2021-03-31,528270000.0,103937000.0,,2651160000.0,1422627000.0,259920000.0,,1228533000.0,847693000.0,907349000.0,530728000.0,,,,0.007026520061610724,0.03331530490815782,0.09581116408596221,0.19674976811100384,0.49202112556079275,0.0392043482852789,0.5366054859005115,0.8635664865070043,0.9342524210640007,0.5849215682168604,-0.00858895705521476,-0.1165644171779141,0.023312883435582892
2640,2021-06-30,484664000.0,51584000.0,,2769443000.0,2769443000.0,208868000.0,,1316216000.0,779739000.0,877873000.0,501215000.0,,,,-0.08254491074639862,0.03331530490815782,0.09581116408596221,0.10643249756532361,0.43095422808378586,0.018626128069795984,1.0,0.47526379853277356,0.8882138988213557,0.5709424939598324,-0.10891089108910888,0.03094059405940594,-0.03712871287128713
2640,2021-09-30,458947000.0,47268000.0,,2915643000.0,2915643000.0,192052000.0,,1250064000.0,928675000.0,821789000.0,622002000.0,,,,-0.05306150240166383,0.03331530490815782,0.09581116408596221,0.102992284512155,0.4184622625270456,0.016211861328701765,1.0,0.4287438482694898,1.1300650166891988,0.7568877169200366,0.15694444444444441,0.1541666666666666,0.13750000000000007
2640,2021-12-31,616715000.0,126430000.0,,3033197000.0,1758690000.0,292567000.0,,1274507000.0,1041762000.0,836629000.0,683174000.0,,,,0.3437608264135074,0.03331530490815782,0.09581116408596221,0.20500555361877043,0.4743957906001962,0.04168209318418817,0.5798139718587352,0.7246911053113397,1.245189922892943,0.8165793918212254,0.017073170731707388,-0.05121951219512198,0.09146341463414634
2640,2022-03-31,628119000.0,127891000.0,,2997649000.0,1652586000.0,297031000.0,,1345063000.0,993726000.0,919963000.0,569909000.0,,,,0.018491523637336534,0.03331530490815782,0.09581116408596221,0.20360950711568987,0.4728896912846133,0.042663767505802044,0.5512940307554354,0.8139140716428676,1.0801803985595073,0.6194912186685769,-0.0671462829736212,-0.017985611510791366,0.3788968824940047
2640,2022-06-30,580439000.0,92676000.0,,3063631000.0,3063631000.0,261919000.0,,1335807000.0,1036330000.0,915320000.0,607164000.0,,,,-0.0759091828140846,0.03331530490815782,0.09581116408596221,0.15966535673860646,0.4512429385344541,0.030250379370100382,1.0,0.4360208523807208,1.1322051304461827,0.6633352270244286,0.05269922879177389,0.14910025706940885,0.47172236503856046
2640,2022-09-30,627921000.0,115680000.0,,3021729000.0,1813786000.0,295037000.0,,1207943000.0,1007961000.0,793993000.0,537174000.0,,,,0.08180360037833433,0.03331530490815782,0.09581116408596221,0.18422699670818463,0.46986324712822153,0.038282718271559095,0.6002477389600457,0.6659787869131198,1.269483484111321,0.6765475262376368,0.09157509157509157,0.42246642246642235,0.3308913308913308
2640,2022-12-31,693756000.0,155733000.0,,3187168000.0,1881688000.0,354884000.0,,1305480000.0,1217490000.0,759873000.0,635676000.0,,,,0.10484599177285041,0.03331530490815782,0.09581116408596221,0.22447805856814212,0.5115400803740796,0.04886250112952941,0.5903949838853804,0.6937813282542058,1.602228267092001,0.8365555823144131,0.2849162011173184,0.27932960893854747,0.24581005586592178
2640,2023-03-31,676485000.0,136544000.0,,3242903000.0,1693372000.0,319047000.0,,1549531000.0,1211071000.0,1000199000.0,585425000.0,,,,-0.024894919827720408,0.03331530490815782,0.09581116408596221,0.20184335203293496,0.4716246479966296,0.042105483882805,0.5221778141375182,0.9150564672145282,1.2108300448210807,0.5853085236038028,-0.004347826086956522,-0.05217391304347826,0.021739130434782608
2640,2023-06-30,700526000.0,122910000.0,,3371121000.0,1792734000.0,323704000.0,,1578387000.0,1359069000.0,1039469000.0,711735000.0,,,,0.0355381124489087,0.03331530490815782,0.09581116408596221,0.17545387323239967,0.4620870602946928,0.03645968210574465,0.5317916503145393,0.8804356920770176,1.3074646766762645,0.6847101741369872,-0.048034934497816595,-0.026200873362445413,0.05240174672489083
